tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,visibility,icon
14.4,10.7,12.2,14.4,10.7,12.2,9.8,85.6,8.33,rain,0.0,0.0,28.1,19.8,31.2,1009.8,11.9,rain
12.8,9.5,11.0,12.8,5.8,10.0,9.4,89.9,12.5,rain,0.0,0.0,57.6,33.7,36.6,1017.7,11.9,rain
8.8,4.5,6.5,4.9,1.0,2.8,4.8,88.9,16.67,rain,0.0,0.0,59.4,35.5,24.8,1022.6,10.7,rain
8.5,5.2,6.9,4.8,2.3,3.3,5.0,87.6,16.67,rain,0.0,0.0,54.0,32.0,29.2,1022.0,14.4,rain
8.1,6.9,7.5,4.7,3.1,3.9,5.5,87.0,16.67,rain,0.0,0.0,51.5,30.1,24.6,1024.4,16.1,rain
7.4,5.6,6.5,5.1,2.7,3.9,4.4,86.7,12.5,rain,0.0,0.0,41.0,19.9,18.4,1027.4,15.9,rain
14.7,9.8,12.1,14.7,8.5,12.0,7.3,72.4,0.0,rain,0.0,0.0,46.1,16.5,225.2,1019.9,22.4,partly-cloudy-day
12.7,6.1,9.5,12.7,2.7,8.1,6.9,84.1,12.5,rain,0.0,0.0,40.7,18.6,353.1,1019.1,19.5,rain
9.2,6.3,7.5,8.2,3.7,5.8,3.8,77.0,8.33,rain,0.0,0.0,34.2,17.6,52.9,1022.6,13.9,rain
13.1,6.7,9.1,13.1,3.4,7.4,7.1,87.5,8.33,rain,0.0,0.0,36.4,20.4,24.8,1015.7,13.6,rain
8.0,5.0,6.7,6.7,1.4,4.2,5.6,92.9,16.67,rain,0.0,0.0,38.9,19.6,16.3,1018.3,9.0,rain
6.1,4.7,5.3,1.8,0.2,1.1,4.0,91.6,12.5,rain,0.0,0.1,51.5,32.4,35.1,1025.8,9.6,rain
7.1,5.1,6.0,3.8,0.7,2.1,4.4,89.0,12.5,rain,0.0,0.0,52.9,29.7,54.0,1029.0,14.5,rain
7.4,4.9,6.3,4.3,1.1,2.4,4.8,90.1,12.5,rain,0.0,0.0,49.7,30.6,41.8,1022.4,12.3,rain
6.6,4.5,5.7,4.1,1.6,2.8,3.9,88.6,12.5,rain,0.0,0.0,37.4,20.4,31.0,1031.9,14.4,rain
8.8,3.5,6.2,6.5,0.9,4.5,3.1,81.0,4.17,rain,0.0,0.0,29.9,18.5,50.8,1026.5,16.2,rain
12.8,7.4,9.9,12.8,7.2,9.8,7.5,85.2,8.33,rain,0.0,0.0,18.0,6.7,232.7,1018.7,9.7,rain
11.9,6.0,8.9,11.9,4.6,8.2,7.1,88.2,12.5,rain,0.0,0.0,28.4,16.4,23.1,1020.6,12.6,rain
10.3,4.8,7.2,10.3,3.7,6.6,5.3,88.3,4.17,rain,0.0,0.0,24.8,15.4,21.8,1025.1,16.0,rain
12.4,4.8,8.2,12.4,4.8,8.2,6.5,89.5,4.17,rain,0.0,0.0,20.2,7.2,220.0,1022.9,6.6,rain
12.0,7.3,9.0,12.0,6.4,8.1,6.4,84.0,4.17,rain,0.0,0.0,26.1,16.6,49.6,1026.4,16.8,rain
9.9,5.1,7.5,9.1,2.9,6.5,5.8,89.4,4.17,rain,0.0,0.0,36.4,20.0,18.4,1021.3,9.0,rain
7.0,4.9,6.1,3.1,1.4,2.2,1.0,70.5,8.33,rain,0.0,0.0,46.8,27.2,35.7,1026.3,16.0,rain
5.4,2.3,4.2,2.9,-1.2,0.6,-0.7,70.9,12.5,"rain,snow",0.0,0.0,49.0,25.2,13.2,1026.7,14.1,rain
4.9,1.6,3.0,0.7,-2.6,-1.0,0.0,80.9,16.67,"rain,snow",0.8,0.0,50.8,31.0,5.9,1029.4,16.6,snow
4.3,1.3,2.8,0.8,-3.0,-0.9,1.4,90.6,16.67,"rain,snow",0.7,0.0,49.7,26.0,13.1,1033.8,12.9,snow
5.3,2.7,4.1,1.7,-1.9,0.1,2.5,89.6,16.67,rain,0.0,0.0,48.6,25.5,23.9,1032.7,16.2,rain
5.2,3.3,4.3,2.6,-1.2,0.5,1.6,82.4,12.5,rain,0.0,0.0,50.8,26.4,24.8,1029.6,23.8,rain
5.2,2.6,3.8,1.8,-1.6,0.2,0.8,81.5,16.67,rain,0.0,0.0,38.9,23.4,31.4,1028.3,19.3,rain
2.9,1.4,2.2,2.9,-2.3,-0.2,0.4,87.8,12.5,"rain,snow",0.0,0.0,40.0,21.4,2.0,1029.0,13.6,rain
4.8,0.0,2.5,2.6,-2.8,0.3,1.4,92.4,16.67,"rain,snow",0.1,0.0,41.3,27.2,9.8,1028.7,8.6,snow
7.6,3.3,5.3,6.8,1.1,4.1,1.7,77.6,8.33,rain,0.0,0.0,31.7,13.2,354.7,1027.3,16.5,rain
10.6,3.4,7.2,10.6,2.9,6.7,2.0,70.9,4.17,rain,0.0,0.0,25.9,12.2,201.3,1021.0,14.2,rain
12.4,7.1,9.4,12.4,4.0,8.5,5.9,79.3,8.33,rain,0.0,0.0,34.6,17.7,354.3,1017.1,14.8,rain
9.3,6.5,7.3,7.8,3.7,5.0,6.1,92.2,12.5,rain,0.0,0.0,28.8,17.3,45.3,1017.1,9.4,rain
6.5,4.9,5.6,4.1,0.9,2.3,4.6,93.0,8.33,rain,0.0,0.0,37.4,26.1,48.8,1016.9,13.8,rain
6.8,4.1,5.4,3.4,-0.1,1.6,2.7,83.4,12.5,rain,0.0,0.0,47.9,23.5,59.2,1020.5,21.4,rain
4.9,1.1,3.1,2.5,-5.0,-0.7,0.9,85.6,12.5,"rain,snow",0.0,0.0,53.3,35.4,26.3,1024.8,17.1,rain
2.3,0.5,1.5,-1.6,-4.7,-2.9,-2.1,77.8,12.5,"rain,snow",0.6,0.1,48.6,26.5,24.0,1030.9,15.1,snow
3.2,-0.9,0.4,-0.7,-5.8,-3.3,-2.1,83.7,16.67,"rain,snow",4.6,1.2,50.0,27.1,13.5,1032.7,11.6,snow
1.9,-1.2,-0.1,-0.9,-6.6,-3.6,-2.4,84.7,12.5,"rain,snow",4.9,1.2,45.5,28.7,24.5,1034.2,18.5,snow
1.8,-2.9,-0.4,0.9,-3.6,-1.3,-2.8,84.3,12.5,"rain,snow",0.4,0.9,28.1,14.8,14.4,1034.8,11.8,snow
5.0,-2.2,1.0,5.0,-2.9,0.4,-4.0,71.2,8.33,"rain,snow",0.0,0.4,16.9,8.2,97.8,1033.0,16.9,rain
11.1,1.5,6.2,11.1,1.5,6.1,2.6,78.6,0.0,rain,0.0,0.0,18.0,11.5,194.3,1023.6,12.3,partly-cloudy-day
10.1,5.2,7.4,10.1,1.9,5.4,4.0,79.3,4.17,rain,0.0,0.0,29.8,16.6,37.9,1024.6,17.2,rain
10.4,4.5,7.1,10.4,3.0,6.0,4.5,83.9,4.17,rain,0.0,0.0,29.9,25.7,20.6,1023.9,12.2,rain
6.9,5.6,6.2,4.0,1.8,3.0,3.1,81.0,16.67,rain,0.0,0.0,42.5,22.2,33.6,1025.4,16.3,rain
8.1,4.9,6.1,4.6,1.5,2.6,1.7,73.8,4.17,rain,0.0,0.0,42.5,27.0,50.3,1025.9,19.2,rain
18.2,9.6,13.8,18.2,7.3,13.7,8.6,71.9,4.17,rain,0.0,0.0,29.9,19.8,17.8,1008.5,13.8,rain
9.5,2.6,6.4,8.2,-3.1,2.8,4.6,88.3,16.67,"rain,snow",0.0,0.0,63.0,35.7,21.7,1018.1,10.5,rain
6.5,4.0,5.1,2.5,-0.9,0.8,-2.4,58.6,8.33,rain,0.0,0.0,57.2,37.9,28.4,1028.6,20.4,rain
8.5,4.2,6.1,6.4,2.5,4.6,2.0,75.0,12.5,rain,0.0,0.0,43.9,20.9,17.9,1029.4,18.5,rain
10.4,4.8,7.5,10.4,3.4,6.8,2.3,70.2,12.5,rain,0.0,0.0,30.6,18.3,28.9,1027.5,17.8,rain
17.4,5.0,11.0,17.4,5.0,11.0,2.4,59.1,0.0,rain,0.0,0.0,24.8,7.5,192.2,1023.3,15.8,partly-cloudy-day
16.9,12.1,14.6,16.9,12.1,14.6,7.9,64.2,12.5,rain,0.0,0.0,46.1,15.4,241.1,1023.1,19.4,rain
14.6,10.4,12.8,14.6,10.4,12.8,8.6,76.3,4.17,rain,0.0,0.0,45.7,33.3,7.7,1004.1,10.6,rain
17.2,10.2,13.0,17.2,10.2,13.0,10.4,85.0,12.5,rain,0.0,0.0,20.5,8.8,349.0,1005.1,9.5,rain
15.2,9.7,12.0,15.2,9.7,12.0,9.1,82.9,4.17,rain,0.0,0.0,22.3,15.1,27.3,1007.6,10.2,rain
16.2,9.3,12.3,16.2,8.0,12.0,9.3,82.7,12.5,rain,0.0,0.0,28.1,17.7,41.2,1009.2,8.3,rain
13.4,9.7,11.3,13.4,7.4,11.2,9.5,88.8,12.5,rain,0.0,0.0,32.8,17.5,22.2,1008.4,7.5,rain
11.1,9.6,10.2,11.1,7.5,9.5,9.0,92.3,12.5,rain,0.0,0.0,31.0,18.1,23.1,1008.3,6.8,rain
12.5,9.8,10.9,12.5,8.9,10.9,8.8,86.9,8.33,rain,0.0,0.0,21.2,11.7,359.6,1016.4,15.2,rain
14.7,7.0,10.5,14.7,5.7,10.2,8.4,87.0,0.0,rain,0.0,0.0,27.0,10.9,247.9,1009.5,9.4,partly-cloudy-day
18.4,6.2,11.6,18.4,2.2,10.6,8.2,80.6,4.17,rain,0.0,0.0,45.4,26.0,331.7,1007.1,14.4,rain
7.5,4.4,5.9,4.9,0.1,2.4,4.5,90.7,16.67,rain,0.0,0.0,58.3,31.9,27.3,1013.0,12.3,rain
8.8,3.8,6.3,5.7,1.5,3.5,1.4,71.5,8.33,rain,0.0,0.0,37.4,22.0,43.5,1021.6,12.9,rain
9.3,5.8,7.2,7.6,2.9,5.3,-0.2,59.8,4.17,rain,0.0,0.0,32.8,17.7,30.0,1019.4,13.8,rain
12.8,4.7,9.0,12.8,3.1,8.3,3.1,67.2,4.17,rain,0.0,0.0,47.5,16.5,219.2,1015.3,19.0,rain
8.0,3.1,5.9,5.8,-0.9,3.1,-2.4,56.7,8.33,rain,0.0,0.0,76.0,28.0,309.0,1014.9,14.8,rain
8.9,5.0,7.8,7.0,4.3,6.0,2.3,69.1,12.5,rain,0.0,0.0,38.5,18.5,283.7,1014.3,16.0,rain
12.5,2.5,7.7,12.5,1.3,7.5,3.0,72.8,4.17,rain,0.0,0.0,22.3,14.4,325.5,1021.7,17.7,rain
13.5,9.1,10.6,13.5,7.1,9.9,8.7,88.1,0.0,rain,0.0,0.0,28.1,13.8,24.4,1012.6,12.3,partly-cloudy-day
14.4,9.7,12.0,14.4,7.7,11.6,8.8,81.0,0.0,rain,0.0,0.0,22.0,14.8,260.8,1009.2,12.8,partly-cloudy-day
18.6,11.0,14.5,18.6,11.0,14.5,10.9,80.0,4.17,rain,0.0,0.0,24.1,14.0,208.6,1010.5,24.0,partly-cloudy-day
14.0,10.2,12.5,14.0,10.2,12.5,9.0,79.9,16.67,rain,0.0,0.0,55.4,32.4,31.4,1018.4,24.1,partly-cloudy-day
